"";"ano";"CNAE1";"X20";"n"
"96";1961;"Comércio; reparação de veículos automotores e motocicletas";"PR";1
"97";1961;"Comércio; reparação de veículos automotores e motocicletas";"RJ";4
"98";1961;"Comércio; reparação de veículos automotores e motocicletas";"RS";2
"99";1961;"Comércio; reparação de veículos automotores e motocicletas";"SC";1
"100";1961;"Comércio; reparação de veículos automotores e motocicletas";"SE";1
"101";1961;"Comércio; reparação de veículos automotores e motocicletas";"SP";12
"102";1961;"Construção";"DF";1
"103";1961;"Construção";"MG";1
"104";1961;"Construção";"PB";1
"105";1961;"Construção";"RJ";2
"106";1961;"Construção";"RS";1
"107";1961;"Construção";"SP";5
"108";1961;"Educação";"CE";1
"109";1961;"Educação";"MG";1
"110";1961;"Educação";"SP";2
"111";1961;"Indústrias de transformação ";"ES";1
"112";1961;"Indústrias de transformação ";"PR";1
"113";1961;"Indústrias de transformação ";"RJ";1
"114";1961;"Indústrias de transformação ";"RS";3
"115";1961;"Indústrias de transformação ";"SP";16
"116";1961;"Indústrias extrativas";"BA";1
"117";1961;"Informação e comunicação";"MG";1
"118";1961;"Informação e comunicação";"RJ";1
"119";1961;"Informação e comunicação";"SP";1
"120";1961;"Organismos internacionais e outras instituições extraterritoriais";"DF";1
"121";1961;"Organismos internacionais e outras instituições extraterritoriais";"PA";1
"122";1961;"Organismos internacionais e outras instituições extraterritoriais";"SP";1
"123";1961;"Outras atividades de serviços";"BA";1
"124";1961;"Outras atividades de serviços";"CE";1
"125";1961;"Outras atividades de serviços";"ES";1
"126";1961;"Outras atividades de serviços";"MG";3
"127";1961;"Outras atividades de serviços";"PE";2
"128";1961;"Outras atividades de serviços";"PI";1
"129";1961;"Outras atividades de serviços";"PR";1
"130";1961;"Outras atividades de serviços";"RJ";3
"131";1961;"Outras atividades de serviços";"RS";3
"132";1961;"Outras atividades de serviços";"SP";5
"133";1961;"Transporte, armazenagem e correio";"ES";1
"134";1961;"Transporte, armazenagem e correio";"MG";1
"135";1962;"Administração pública, defesa e seguridade social";"BA";3
"136";1962;"Administração pública, defesa e seguridade social";"PR";1
"137";1962;"Administração pública, defesa e seguridade social";"SC";1
"138";1962;"Agricultura, pecuária, produção florestal, pesca e aquicultura";"PR";2
"139";1962;"Agricultura, pecuária, produção florestal, pesca e aquicultura";"RJ";1
"140";1962;"Agricultura, pecuária, produção florestal, pesca e aquicultura";"SP";1
"141";1962;"Alojamento e alimentação";"MG";1
"142";1962;"Alojamento e alimentação";"SP";5
"143";1962;"Artes, cultura, esporte e recreação";"RJ";1
"144";1962;"Artes, cultura, esporte e recreação";"RS";2
"145";1962;"Artes, cultura, esporte e recreação";"SP";5
"146";1962;"Atividades administrativas e serviços complementares";"MG";10
"147";1962;"Atividades administrativas e serviços complementares";"PE";4
"148";1962;"Atividades administrativas e serviços complementares";"RJ";10
